page-links,page-links-href,title,authors,conference,link
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Refer-to-as Relations as Semantic Knowledge,"Song Feng, Sujith Ravi, Ravi Kumar, Polina Kuznetsova, Wei Liu, Alex Berg, Tamara Berg, Yejin Choi",AAAI Conference on Artificial Intelligence (2015) (to appear),
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Permutation betting markets: singleton betting with extra information,"Mohammad Ghodsi, Hamid Mahini, Vahab S. Mirrokni, Morteza Zadimoghaddam","ACM Conference on Electronic Commerce (2008), pp. 180-189",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Local Collaborative Ranking,"Joonseok Lee, Samy Bengio, Seungyeon Kim, Guy Lebanon, Yoram Singer","International World Wide Web Conference, WWW (2014)",/pubs/archive/42242.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,"From mixed-mode to multiple devices. Web surveys, smartphone surveys and apps.",Mario Callegaro,"International Journal of Market Research, vol. 55 (2013), pp. 317-320",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Filling Knowledge Base Gaps for Distant Supervision of Relation Extraction,"Wei Xu, Raphael Hoffmann, Le Zhao, Ralph Grishman",ACL 2013,
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Paxos Made Live - An Engineering Perspective (2006 Invited Talk),"Tushar Deepak Chandra, Robert Griesemer, Joshua Redstone","Proceedings of the 26th Annual ACM Symposium on Principles of Distributed Computing, ACM press (2007)",
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,A Framework for Benchmarking Entity-Annotation Systems,"Marco Cornolti, Paolo Ferragina, Massimiliano Ciaramita","Proceedings of the International World Wide Web Conference (WWW) (Practice & Experience Track), ACM (2013) (to appear)",/pubs/archive/40749.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Large-Scale Music Annotation and Retrieval: Learning to Rank in Joint Semantic Spaces.,"Jason Weston, Samy Bengio, Philippe Hamel",Journal of New Music Research (2011),/pubs/archive/37179.pdf
Speech Processing,http://research.google.com/pubs/SpeechProcessing.html,Speech/Nonspeech Segmentation in Web Videos,Ananya Misra,Proceedings of InterSpeech 2012,/pubs/archive/40362.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Google Correlate Whitepaper,"Matt Mohebbi, Dan Vanderkam, Julia Kodysh, Rob Schonberger, Hyunyoung Choi, Sanjiv Kumar",Google (2011),/pubs/archive/41695.pdf
Networking,http://research.google.com/pubs/Networking.html,The Effects of Faults on Network Expansion,"Amithaba Bagchi, Ankur Bhargava, Amitabh Chaudhary, David Eppstein, Christian Scheideler","Theory of Computing Systems, vol. 39, no. 6 (2006), pp. 903-928",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Fastfood - Approximating Kernel Expansions in Loglinear Time,"Quoc Le, Tamas Sarlos, Alex Smola","30th International Conference on Machine Learning (ICML), Omnipress (2013)",
Networking,http://research.google.com/pubs/Networking.html,Flywheel: Google's Data Compression Proxy for the Mobile Web,"Victor Agababov, Michael Buettner, Victor Chudnovsky","Proceedings of the 12th USENIX Symposium on Networked Systems Design and Implementation, NSDI 2015, USENIX, 2560 Ninth Street, Suite 215, Berkeley, CA, 94710 USA",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Query Rewriting using Monolingual Statistical Machine Translation,"Stefan Riezler, Yi Liu","Computational Linguistics, vol. 36 (2010)",/pubs/archive/36610.pdf
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,"Code Coverage, Performance, Approximation and Automatic Recognition of Idioms in Scientific Applications","Jiahua He, Allan E. Snavely, Rob F. Van der Wijngaart, Michael A. Frumkin","Proc. 17th International Symposium on High Performance Distributed Computing, ACM, Boston (2008), pp. 223-224",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Improving SSL Warnings: Comprehension and Adherence,"Adrienne Porter Felt, Alex Ainslie, Robert W. Reeder, Sunny Consolvo, Somas Thyagaraja, Alan Bettes, Helen Harris, Jeff Grimes","Proceedings of the Conference on Human Factors and Computing Systems, ACM (2015)",/pubs/archive/43265.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Tour the World: building a web-scale landmark recognition engine,"Yantao Zheng, Ming Zhao, Yang Song, Hartwig Adam, Ulrich Buddemeier, Alessandro Bissacco, Fernando Brucher, Tat-Seng Chua, Hartmut Neven",International Conference on Computer Vision and Pattern Recognition (CVPR) (2009),/pubs/archive/35291.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,SAC070 - SSAC Advisory on the Use of Static TLD / Suffix Lists,"Warren Kumari, Jaap Akkerhuis, Patrik Faltstrom","ICANN SSAC Reports and Advisories, ICANN (2015), pp. 32 (to appear)",/pubs/archive/43821.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Near-oracle performance of greedy block-sparse estimation techniques from noisy measurements,"Zvika Ben-Haim, Yonina C. Eldar","Selected Topics in Signal Processing, vol. 5 (2011), pp. 1032-1047",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Efficient Constructions of Composable Commitments and Zero-Knowledge Proofs,"Yevgeniy Dodis, Victor Shoup, Shabsi Walfish","Proceedings of Advances in Cryptology - CRYPTO 2008, 28th Annual International Cryptology Conference, Santa Barbara, CA, USA, August 17-21, 2008, pp. 515-535",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Arrival and departure in Social Networks,"Shaomei Wu, Atish Das Sarma, Alex Fabrikant, Silvio Lattanzi, Andrew Tomkins","Sixth ACM International Conference on Web Search and Data Mining, WSDM 2013",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Mixture of mixture n-gram language models,"Hasim Sak, Cyril Allauzen, Kaisuke Nakajima, Francoise Beaufays","ASRU (2013), pp. 31-36",/pubs/archive/43902.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Dagstuhl Seminar 09141: Web Application Security (Abstracts collection),"Dan Boneh, Ulfar Erlingsson, Martin Johns, Benjamin Livshits","Dagstuhl Seminar Proceedings, Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik, Germany, Dagstuhl, Germany (2010)",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Public-Key Encryption in the Bounded-Retrieval Model,"Joel Alwen, Yevgeniy Dodis, Moni Naor, Gil Segev, Shabsi Walfish, Daniel Wichs","Advances in Cryptology - EUROCRYPT 2010, 29th Annual International Conference on the Theory and Applications of Cryptographic Techniques, French Riviera, May 30 - June 3, 2010. Proceedings, Springer, pp. 113-134",/pubs/archive/36624.pdf
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,LEVER: A Tool for Learning Based Verification (Tool Paper),"Abhay Vardhan, Mahesh Viswanathan",Springer (2006),
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Ubiquitous search for smart workspaces,Daniel M. Russell,"Universal Access in the Information Society, vol. 10 (2012), pp. 11-20",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,"Elastic block ciphers: method, security and instantiations","Debra L. Cook, Moti Yung, Angelos D. Keromytis","Int. J. Inf. Secur., vol. 8 (2009), pp. 211-231",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Functional and Logic Programming,"Matthias Blume, Naoki Kobayashi, German Vidal","Springer, LNCS (2010)",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Computing weak consistency in polynomial time,"Wojciech Golab, Xiaozhou (Steve) Li, Alejandro Lopez-Ortiz, Naomi Nishimura","Proceedings of the 2015 ACM Symposium on Principles of Distributed Computing, ACM, New York, NY, USA, pp. 395-404",
Machine Translation,http://research.google.com/pubs/MachineTranslation.html,Efficient Top-Down BTG Parsing for Machine Translation Preordering,Tetsuji Nakagawa,"Proceedings of the 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing (Volume 1: Long Papers), Association for Computational Linguistics (2015), pp. 208-218",/pubs/archive/43848.pdf
Mobile Systems,http://research.google.com/pubs/MobileSystems.html,Accurate Online Power Estimation and Automatic Battery Behavior Based Power Model Generation for Smartphones,"Lide Zhang, Birjodh Tiwana, Zhiyun Qian, Zhaoguang Wang, Robert P. Dick, Z. Morley Mao, Lei Yang","Proceeding of Internation Conference on Hardware/Software Codesign and System Synthesis (2010), pp. 105-114",/pubs/archive/39990.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,The non-adaptive query complexity of testing k-parities,"Harry Buhrman, David Garcia, Arie Matsliah, Ronald de Wolf","Chicago Journal of Theoretical Computer Science, vol. 2013 (2013), pp. 1-11",/pubs/archive/41544.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Italy,"Teresio Poggio, Mario Callegaro","Telephone surveys in Europe: Research and practice, Springer, Berlin (2012), pp. 59-72",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Similarity-based Clustering by Left-Stochastic Matrix Factorization,"Raman Arora, Maya R. Gupta, Amol Kapila, Maryam Fazel","Journal Machine Learning Research (JMLR), vol. 14 (2013), pp. 1715-1746",/pubs/archive/41697.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Manufacturing Compromise: The Emergence of Exploit-as-a-Service,"Chris Grier, Lucas Ballard, Juan Caballero, Neha Chachra, Christian J. Dietrich, Kirill Levchenko, Panayiotis Mavrommatis, Damon McCoy, Antonio Nappa, Andreas Pitsillidis, Niels Provos, M. Zubair Rafique, Moheeb Abu Rajab, Christian Rossow, Kurt Thomas, Vern Paxson, Stefan Savage, Geoffrey M. Voelker",Proceedings of 19th ACM Conference on Computer and Communications Security (2012),/pubs/archive/40669.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Entity Disambiguation with Freebase,"Zhicheng Zheng, Xiance Si, Fangtao Li, Edward Y. Chang, Xiaoyan Zhu",The 2012 IEEE/WIC/ACM International Conference on Web Intelligence (WI'2012) (to appear),/pubs/archive/38389.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Efficient Search Engine Measurements,"Ziv Bar-Yossef, Maxim Gurevich","WWW (2007), pp. 401-410",
Data Mining,http://research.google.com/pubs/DataMining.html,Dynamic Covering for Recommendation Systems,"Ioannis Antonellis, Anish Das Sarma, Shaddin Dughmi",CIKM (2012),
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Searching the Web by Voice,"Alexander Franz, Brian Milch","Proceedings of the 19th International Conference on Computational Linguistics (COLING) (2002), pp. 1213-1217",/pubs/archive/66.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Human Computation Must Be Reproducible,Praveen Paritosh,"WWW 2012, Lyon.",/pubs/archive/40741.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Defining Strong Privacy for RFID,"Ari Juels, Stephen A. Weis","Proc. 5th International Conf. on Pervasive Computing and Communications Workshops, IEEE (2007), pp. 342-347",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Cryptography in OpenBSD: An Overview,"Theo de Raadt, Niklas Hallqvist, Artur Grabowski, Angelos D. Keromytis, Niels Provos","USENIX Annual Technical Conference, FREENIX Track (1999)",
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,F1 - The Fault-Tolerant Distributed RDBMS Supporting Google's Ad Business,"Jeff Shute, Mircea Oancea, Stephan Ellner, Ben Handy, Eric Rollins, Bart Samwel, Radek Vingralek, Chad Whipkey, Xin Chen, Beat Jegerlehner, Kyle Littlefield, Phoenix Tong",SIGMOD (2012),/pubs/archive/38125.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Quantum Algorithms for Discrete Optimization,"Sergio Boixo, Rolando Somma","Quantum Optimization: Fields Institute Communications, Springer (2015) (to appear)",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Video CAPTCHAs: Usability vs. Security,"Kurt Alfred Kluever, Richard Zanibbi","Proceedings of the IEEE Western New York Image Processing Workshop (WNYIP '08), IEEE Press (2008)",/pubs/archive/35117.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Zebra: Exploring users' engagement in fieldwork,"Yann Riche, Matthew Simpson, Stephen Viller",DIS 2008: Designing Interactive Systems,/pubs/archive/33356.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Lp Distance and Equivalence of Probabilistic Automata,"Corinna Cortes, Mehryar Mohri, Ashish Rastogi","International Journal of Foundations of Computer Science, vol. 18 (2007), pp. 761-780",
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Adding Meaning to Facebook Microposts via a Mash-up API and Tracking Its Data Provenance,"Thomas Steiner, Ruben Verborgh, Joaquim Gabarro, Rik Van de Walle",The 7th International Conference on Next Generation Web Services Practices (NWeSP 2011),/pubs/archive/37426.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Photo Tours,"Avanish Kushal, Ben Self, Yasutaka Furukawa, David Gallup, Carlos Hernandez, Brian Curless, Steve Seitz",3DimPVT 2012 (to appear),/pubs/archive/40350.pdf
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Artificial General Intelligence. Proceedings of the 4th International Conference,"Jurgen Schmidhuber, Kristinn Thorisson, Moshe Looks",Springer Lecture Notes in Artificial Intelligence (2011),
Data Management,http://research.google.com/pubs/DataManagement.html,Using Hoarding to Increase Availability in Shared File Systems,"Jochen Hollmann, Per Stenstrom","Computer and Information Science, 2009. ICIS 2009. Eighth IEEE/ACIS International Conference on, IEEE, pp. 422 - 429",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Efficient Robust Private Set Intersection,"Dana Dachman-Soled, Tal Malkin, Mariana Raykova, Moti Yung","ACNS '09: Proceedings of the 7th International Conference on Applied Cryptography and Network Security, Springer-Verlag, Berlin, Heidelberg (2009), pp. 125-142",
Data Management,http://research.google.com/pubs/DataManagement.html,Collaborative Environmental In Situ Data Collection: Experiences and Opportunities for Ambient Data Integration,David Thau,"On the Move to Meaningful Internet Systems: OTM 2010 Workshops, Lecture Notes in Computer Science, pp. 119",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,"Your Reputation Precedes You: History, Reputation, and the Chrome Malware Warning","Hazim Almuhimedi, Adrienne Porter Felt, Robert W. Reeder, Sunny Consolvo","Proceedings of the Symposium On Usable Privacy and Security: SOUPS '14, USENIX (2014)",/pubs/archive/42546.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,"2012: Recent Books and Journals in Public Opinion, Survey Methods, and Survey Statistics",Mario Callegaro,"Survey Practice, vol. April (2012)",
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,N-Way Composition of Weighted Finite-State Transducers,"Cyril Allauzen, Mehryar Mohri","International Journal of Foundations of Computer Science, vol. 20 (2009), pp. 613-627",/pubs/archive/35396.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Mechanism Design for Fair Division: Allocating Divisible Items without Payments,"Richard Cole, Vasilis Gkatzelis, Gagan Goel","EC 2013, ACM",/pubs/archive/42185.pdf
Machine Translation,http://research.google.com/pubs/MachineTranslation.html,A Systematic Comparison of Phrase Table Pruning Techniques,"Richard Zens, Daisy Stanton, Peng Xu","Proceedings of the 2012 Joint Conference on Empirical Methods in Natural Language Processing and Computational Natural Language Learning, Association for Computational Linguistics, Jeju Island, Korea, pp. 972-983",/pubs/archive/38279.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Preference aggregation in group recommender systems for committee decision-making,"Jacob P. Baskin, Shriram Krishnamurthi","RecSys '09: Proceedings of the third ACM conference on Recommender systems, ACM, New York, NY, USA (2009), pp. 337-340",
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,Generative usability: security and user centered design beyond the appliance,"Luke Church, Alma Whitten",New Security Paradigms Workshop (2009),
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,"The Past, Present and Future of Web Information Retrieval",Monika Rauch Henzinger,"PODS (2004), pp. 46",/pubs/archive/17369.pdf
Machine Perception,http://research.google.com/pubs/MachinePerception.html,"What's Cookin'? Interpreting Cooking Videos using Text, Speech and Vision","Jonathan Malmaud, Jonathan Huang, Vivek Rathod, Nicholas Johnston, Andrew Rabinovich, Kevin Murphy",North American Chapter of the Association for Computational Linguistics - Human Language Technologies (NAACL HLT 2015) (to appear),/pubs/archive/43403.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,A Support Vector Approach to Censored Targets,"Pannagadatta Shivaswamy, Wei Chu, Martin Jansche","Seventh IEEE International Conference on Data Mining (ICDM) (2007), pp. 655-660",/pubs/archive/34327.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,"Web Surveys for the General Population: How, why and when?","Gerri Nicolaas, Lisa Calderwood, Peter Lynn, Caroline Roberts, Mario Callegaro","Natcen (2014), pp. 22",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Mass Personalization: Social and Interactive Applications using Sound-Track Identification,"Michael Fink, Michele Covell, Shumeet Baluja","Journal of Multimedia Tools and Applications, vol. 36 (2008), pp. 115-132",/pubs/archive/56.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Search Inside Yourself,Chade-Meng Tan,HarperOne (2012),
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,Integrity and its Applications,"Qunwei Zheng, Sibabrata Ray, Xiaoyan Hong, Lei Tang, Li Gao","ACM Southeast Regional Conference, {ACM}, Winston-Salem (2007), pp. 350-354",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Wsabie: Scaling Up To Large Vocabulary Image Annotation,"Jason Weston, Samy Bengio, Nicolas Usunier","Proceedings of the International Joint Conference on Artificial Intelligence, IJCAI (2011)",/pubs/archive/37180.pdf
Economics and Electronic Commerce,http://research.google.com/pubs/EconomicsandElectronicCommerce.html,Ad Exchanges: Research Issues,S. N. Muthukrishnan,"Wine 2009: Proceedings of the 5th International Workkshop on Internet and Network Economics, Springer-Verlag, Heidelberg, pp. 1-12",
Networking,http://research.google.com/pubs/Networking.html,Trickle: A Userland Bandwidth Shaper for Unix-like Systems,Marius Eriksen,"USENIX Annual Technical Conference, FREENIX Track (2005), pp. 61-70",/pubs/archive/76.pdf
Information Retrieval and the Web,http://research.google.com/pubs/InformationRetrievalandtheWeb.html,Learning to Extract Local Events from the Web,"John Foley, Michael Bendersky, Vanja Josifovski",SIGIR 2015 (to appear),/pubs/archive/43796.pdf
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,Combined Static and Dynamic Automated Test Generation,"Sai Zhang, David Saff, Yingyi Bu, Michael D. Ernst","Proc. 11th International Symposium on Software Testing and Analysis (ISSTA 2011), Toronto, Ontario, (to appear)",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,ESM Versus Logs: Filling in the Gaps,Kathy Baxter,American Anthropological Association 2014 Annual Conference,
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,The One-Way Communication Complexity of Hamming Distance,"T. S. Jayram, Ravi Kumar, D. Sivakumar","Theory of Computing, vol. 4 (2008), pp. 129-135",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Size Matters: Exhaustive Geometric Verification for Image Retrieval,"Henrik Stewenius, Steinar H. Gunderson, Julien Pilet","12th European Conference on Computer Vision (ECCV), Springer (2012), pp. 674-687",/pubs/archive/41923.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Milgram-routing in social networks.,"Silvio Lattanzi, Alessandro Panconesi, D. Sivakumar","Proceedings of the 20th International Conference on World Wide Web, WWW 2011, pp. 725-734",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Street view goes indoors: Automatic pose estimation from uncalibrated unordered spherical panoramas,"Mohamed Aly, Jean-Yves Bouguet","Proceedings of the 2012 IEEE Workshop on the Applications of Computer Vision, IEEE Computer Society, Washington, DC, USA, pp. 1-8",
Software Systems,http://research.google.com/pubs/SoftwareSystems.html,Measuring Interference Between Live Datacenter Applications,"Melanie Kambadur, Tipp Moseley, Rick Hank, Martha A. Kim","Supercomputing, ACM (2012)",/pubs/archive/40563.pdf
Algorithms and Theory,http://research.google.com/pubs/AlgorithmsandTheory.html,On the Convergence of Regret Minimization Dynamics in Concave Games,"Eyal Even-Dar, Yishay Mansour, Uri Nadav","41st Annual ACM Symposium on Theory of Computing, STOC, ACM (2009), pp. 523-532",
Data Mining,http://research.google.com/pubs/DataMining.html,Optimal Hashing Schemes for Entity Matching,"Nilesh Dalvi, Vibhor Rastogi, Anirban Dasgupta, Anish Das Sarma, Tamas Sarlos","22nd International World Wide Web Conference, WWW '13, ACM, Rio de Janeiro, Brazil (2013), pp. 295-306",
Software Engineering,http://research.google.com/pubs/SoftwareEngineering.html,"Jscheme: A Dialect of Scheme for Scripting in Java,","Ken Anderson, Tim Hickey, Peter Norvig",Proceedings of the MIT Dynamic Languages Seminar (2001),
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Beyond Short Snippets: Deep Networks for Video Classification,"Joe Yue-Hei Ng, Matthew Hausknecht, Sudheendra Vijayanarasimhan, Oriol Vinyals, Rajat Monga, George Toderici",Computer Vision and Pattern Recognition (2015),/pubs/archive/43793.pdf
Natural Language Processing,http://research.google.com/pubs/NaturalLanguageProcessing.html,Integrating probabilistic extraction models and data mining to discover relations and patterns in text,"Aron Culotta, Andrew McCallum, Jonathan Betz","HLT-NAACL, New York, NY (2006), pp. 296-303",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Query Suggestions for Mobile Search: Understanding Usage Patterns,"Maryam Kamvar, Shumeet Baluja",Proceedings of the SIGCHI conference on Human Factors in computing systems (CHI) (2008),/pubs/archive/33483.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Upper and Lower Bounds on the Cost of a Map-Reduce Computation,"Foto Afrati, Anish Das Sarma, Semih Salihoglu, Jeffrey Ullman",Arxiv (2012),
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Label Ranking under Ambiguous Supervision: An Application for Learning Semantic Correspondences,"Nicolas Usunier, Antoine Bordes, Jason Weston","ICML, ICML (2010)",
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,Inferring Complex Agent Motions from Partial Trajectory Observations,"Finnegan Southey, Wesley Loh, Dana Wilkinson",Proceedings of the 20th International Joint Conference on Artificial Intelligence (IJCAI-07) (2007),
Artificial Intelligence and Machine Learning,http://research.google.com/pubs/ArtificialIntelligenceandMachineLearning.html,On the Prospects for Building a Working Model of the Visual Cortex,"Thomas Dean, Glenn Carroll, Richard Washington","Proceedings of AAAI-07, MIT Press, Cambridge, Massachusetts (2007), pp. 1597-1600",/pubs/archive/34771.pdf
Data Mining,http://research.google.com/pubs/DataMining.html,Interactive Itinerary Planning,"Senjuti Basu-Roy, Gautam Das, Sihem Amer-Yahia, Cong Yu",ICDE (2011),/pubs/archive/37383.pdf
"Security, Cryptography, and Privacy",http://research.google.com/pubs/SecurityCryptographyandPrivacy.html,A Method for Making Password-Based Key Exchange Resilient to Server Compromise,"Craig Gentry, Philip MacKenzie, Zulfikar Ramzan","Advances in Cryptology - CRYPTO 2006, Springer, pp. 142-159",/pubs/archive/27952.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,Evaluation Strategies for Top-k Queries over Memory-Resident Inverted Indexes,"Marcus Fontoura, Vanja Josifovski, Jinhui Liu, Srihari Venkatesan, Xiangfei Zhu, Jason Zien",The 37th International Conference on Very Large Databases (VLDB 2011) (to appear),/pubs/archive/37365.pdf
General Science,http://research.google.com/pubs/GeneralScience.html,Minimizing off-target signals in RNA fluorescent in situ hybridization,"Aaron Arvey, Anita Hermann, Cheryl C. Hsia, Eugene Ie, Yoav Freund, William McGinnis",Nucleic Acids Research (2010),/pubs/archive/36248.pdf
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,JANUS: exploiting parallelism via hindsight,"Omer Tripp, Roman Manevich, John Field, Mooly Sagiv","Proceedings of the 33rd ACM SIGPLAN conference on Programming Language Design and Implementation, ACM, New York, NY, USA (2012), pp. 145-156",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,The Map of the Future May Not Be a Map!,Ed Parsons,"The Cartographic Journal, vol. 50 No.2 (2013), pp. 182-186",
Machine Perception,http://research.google.com/pubs/MachinePerception.html,Waveprint: Efficient Wavelet-Based Audio Fingerprinting,"Shumeet Baluja, Michele Covell",Pattern Recognition (2008),
Data Management,http://research.google.com/pubs/DataManagement.html,Data Modeling in Dataspace Support Platforms,"Anish Das Sarma, Xin (Luna) Dong, Alon Y. Halevy","Conceptual Modeling: Foundations and Applications, Springer-Verlag, Berlin, Heidelberg (2009), pp. 122-138",
General Science,http://research.google.com/pubs/GeneralScience.html,Neural Networks and Neuroscience-Inspired Computer Vision,"David Cox, Tom Dean","Current Biology, vol. 24 (2014), pp. 921-929",
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Adolescent search roles,"Elizabeth Foss, Hilary Hutchinson, Allison Druin, Jason Yip, Whitney Ford, Evan Golub","Journal of the American Society for Information Science and Technology, vol. 64(1) (2013), pp. 173-189",
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,F1: A Distributed SQL Database That Scales,"Jeff Shute, Radek Vingralek, Bart Samwel, Ben Handy, Chad Whipkey, Eric Rollins, Mircea Oancea, Kyle Littlefield, David Menestrina, Stephan Ellner, John Cieslewicz, Ian Rae, Traian Stancescu, Himani Apte",VLDB (2013),/pubs/archive/41344.pdf
Human-Computer Interaction and Visualization,http://research.google.com/pubs/Human-ComputerInteractionandVisualization.html,Estimating the size of online social networks,"Shaozhi Ye, S. Felix Wu","International Journal of Social Computing and Cyber-Physical Systems, vol. 1 (2011), pp. 160 - 179",/pubs/archive/37602.pdf
Data Management,http://research.google.com/pubs/DataManagement.html,Exploring Schema Repositories with Schemr,"Kuang Chen, Jayant Madhavan, Alon Halevy","Proceedings of the ACM SIGMOD conference (2009), pp. 1095-1098",
Distributed Systems and Parallel Computing,http://research.google.com/pubs/DistributedSystemsandParallelComputing.html,Pregel: A System for Large-Scale Graph Processing,"Grzegorz Malewicz, Matthew H. Austern, Aart J.C. Bik, James C. Dehnert, Ilan Horn, Naty Leiser, Grzegorz Czajkowski","28th ACM Symposium on Principles of Distributed Computing (2009), pp. 6-6",
